COPC Name                                              ,CAS #      ,MW [g/mole],Tm [K] ,Vp [atm]    ,S [mg/L] ,H [atm*m^3/mol],Da [cm^2/s],Dw [cm^2/s],Kow         ,Koc [mL/g] ,Kds [cm^3/g],Kdsw [L/kg],Kdbs [cm^3/g],Ksg [1/year],Fv         ,RCF         ,Br root veg ,Br leafy veg   ,Br forage      ,Bv leafy veg,Bv forage   ,Ba milk [day/kg FW],Ba beef [day/kg FW],Ba pork [day/kg FW],BCF egg    ,BCF chicken,BCF Fish [L/kg FW tissue],BAF fish [L/kg FW],BSAF fish,RfD [mg/kg/day],Oral CSF [mg/kg/day]-1,RFC [mg/m^3],Inhalation URF [1/(µg/m^3)],Inhalation CSF [1/(mg/kg/day/)],Chemical type,Chemical Subtype,Br Grain   ,Ba egg     ,Ba chicken ,Inhalation RFD,TEF,FACTIVE
Acenaphthene                                           ,83-32-9    ,154,366,0.00000329,3.6,0.00016,0.001,0.00001,7940,4900,3.9,368,196,2.48,1,234,0.213,0.216,0.216,4.97,4.97,0.00512,0.0243,0.0294,0.0732,           ,201,201,         ,0.06,                    ,            ,                           ,                               ,O            ,PAH             ,0.216,0.0102,0.0179,              ,   ,T      
Acenaphthylene,208-96-8   ,152.19,364.9,0.00000875,3.9,0.000111,0.044,0.0000075,8709,2760,3.9,207,110.4,4.22,1,32.6,0.0218,0.27,0.27,125000,125000,0.00512,0.0243,0.0294,0.0732,           ,549,549,         ,               ,                    ,            ,                           ,                               ,O            ,PAH             ,0.216,0.0102,0.0179,              ,   ,T      
Acetaldehyde                                           ,75-07-0    ,44.1,150,1.19,1000000,0.0000789,0.124,0.0000141,0.603,0.61,0.006,0.05,0.02,            ,1,6.46,1060,8.38,8.38,0.000413,0.000413,0.00000634,0.0000301,0.0000364,0.00000478,           ,3.16,                  ,         ,               ,                    ,0.009,0.0000022,                               ,O            ,                ,8.38,0.0000127,0.0000222,              ,   ,T      
Acetamide,60-35-5    ,59.1,354,0.00132,2250000,3.45E-08,0.125,0.0000145,0.055,0.0578,0.000578,0.00433,0.00231,8.43,1,6.39,11100,207,207,0.0736,0.0736,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,               ,0.07,            ,0.00002,                               ,O            ,                ,207,0.00000382,0.00000668,              ,   ,T      
Acetone                                                ,67-64-1    ,58.1,178,0.303,1000000,0.000039,0.124,0.0000114,0.575,0.58,0.087,0.04,0.02,36.1,1,6.46,74.2,8.38,8.38,0.000796,0.000796,0.00000602,0.0000286,0.0000346,0.00000477,           ,3.16,                  ,         ,0.9,                    ,            ,                           ,                               ,O            ,                ,8.38,0.000012,0.0000211,              ,   ,T      
Acetonitrile                                           ,75-05-8    ,41.1,228,0.12,74000,0.0000346,0.128,0.0000166,0.457,0.46,0.005,0.03,0.02,9.03,1,6.43,1390,8.38,8.38,0.000702,0.000702,0.00000464,0.0000221,0.0000267,0.00000363,           ,3.16,                  ,         ,0.006,                    ,0.06,                           ,                               ,O            ,                ,8.38,0.00000929,0.0000163,              ,   ,T      
Acetophenone                                           ,98-86-2    ,120,293,0.000522,6130,0.0000107,0.06,0.00000873,38,35.8,0.36,2.68,1.43,            ,1,10.1,28.3,4.73,4.73,0.252,0.252,0.000306,0.00145,0.00176,0.000347,           ,0.475,                  ,         ,0.1,                    ,            ,                           ,                               ,O            ,                ,4.73,0.000612,0.00107,              ,   ,T      
Acrolein                                               ,107-02-8   ,56.1,185,0.355,210000,0.00012,0.105,0.0000122,0.977,0.98,0.15,0.07,0.04,9.03,1,6.54,43.6,8.38,8.38,0.000455,0.000455,0.0000107,0.0000511,0.0000618,0.00000778,           ,3.16,                  ,         ,0.0005,                    ,0.0004,                           ,                               ,O            ,                ,8.38,0.0000215,0.0000376,              ,   ,T      
Acrylamide,79-06-1    ,71.1,358,0.00000921,640000,1.02E-09,0.111,0.0000128,0.214,0.22,0.0022,0.0165,0.00879,8.43,1,6.39,2910,94.5,94.5,10.6,10.6,0.00000191,0.00000907,0.000011,           ,           ,3.16,                  ,         ,0.002,0.5,0.006,0.0001,                               ,O            ,                ,94.5,0.00000382,0.00000668,              ,   ,T      
Acrylic Acid,79-10-7    ,72.1,287,0.00523,1000000,0.000000376,0.11,0.0000127,2.24,2.21,0.0221,0.166,0.0884,14.9,1,6.74,305,24.3,24.3,0.35,0.35,0.0000254,0.000121,0.000146,           ,           ,3.16,                  ,         ,0.5,                    ,0.001,                           ,                               ,O            ,                ,24.3,0.0000508,0.0000888,              ,   ,T      
Acrylonitrile                                          ,107-13-1   ,53.1,190,0.143,74000,0.000103,0.122,0.0000134,1.78,1.76,0.02,0.13,0.07,11,1,6.67,379,8.38,8.38,0.001,0.001,0.0000201,0.0000955,0.000116,0.0000141,           ,3.16,                  ,         ,0.04,0.54,0.002,0.000068,                               ,O            ,                ,8.38,0.0000402,0.0000704,              ,   ,T      
"Aldehydes, Unspeciated",E761379    ,30,181,6.89,550000,0.000000336,0.178,0.0000198,2.24,2.21,0.02,0.17,0.09,36.1,1,6.74,305,8.38,8.38,0.392,0.392,0.0000254,0.000121,0.000146,0.0000175,           ,3.16,                  ,         ,0.2,                    ,0.009,0.000005,                               ,O            ,                ,8.38,0.0000508,0.0000888,              ,   ,T      
Allyl Chloride,107-05-1   ,76.53,139,0.482,2968,0.011,0.0936,0.0000108,85.11,39.6,            ,2.97,1.584,18,1,1.2,5.6,5.6,5.6,0.018,0.018,0.000000672,0.00000213,                   ,           ,           ,3.66,                  ,         ,,0.021,0.001,0.000006,                               ,O            ,                ,           ,           ,           ,              ,   ,T      
Aminobiphenyl 4-,92-67-1,169.23,327,0.00000124,223.9,0.000000146,0.0621,0.00000726,724,305.8,,22.935,12.232,,1,,,,,0.845,0.845,0.00000572,0.0000181,,,,35.8,,,,21,,0.006,,O            ,,,,,,,
Ammonia   ,7664-41-7  ,17,196,8.5,480000,0.000301,0.287,0.0000333,1.7,1.69,0.0169,0.126,0.0674,253,1,0.35,20.7,28.5,28.5,0.000327,0.000327,0.0000192,0.0000912,0.00011,           ,           ,0.3,                  ,         ,               ,                    ,0.08,                           ,                               ,O            ,                ,28.5,0.0000384,0.0000672,              ,   ,T      
Aniline                                                ,62-53-3    ,93.6,267,0.000645,36000,0.0000019,0.07,0.0000083,7.94,7.67,1.2,0.58,0.31,            ,1,7.45,6.21,8.38,8.38,0.267,0.267,0.0000841,0.0004,0.000484,0.0000759,           ,3.16,                  ,         ,0.007,0.0057,0.001,0.0000016,                               ,O            ,                ,8.38,0.000168,0.000294,              ,   ,T      
"Anisidine,O-",90-04-0,123.16,280,0.00022,9598,0.000000926,0.0652,0.00000891,14,45.92,,3.444,1.8368,,1,,,,,7.96,7.96,0.000000127,0.000000378,,,,2.79,,,,0.14,,,,,,,,,,,
Anthracene                                             ,120-12-7   ,178,493,3.55E-09,0.043,0.000065,0.001,0.00001,31600,23500,4500,1760,940,0.55,0.998,678,0.151,0.0971,0.0971,53.3,53.3,0.00712,0.0338,0.0409,0.235,           ,582,1030,         ,0.3,                    ,            ,0.00072,                               ,O            ,PAH             ,0.0971,0.0142,0.0249,              ,   ,T      
Antimony                                               ,7440-36-0  ,125,903,0,23000,0.025,0.0772,0.00000957,5.37,           ,45,45,45,            ,0,            ,0.03,0.0319,0.2,            ,            ,0.0001,0.001,                   ,           ,           ,40,                  ,         ,0.0004,                    ,0.0002,                           ,                               ,I            ,Metal           ,0.03,           ,           ,              ,   ,T      
Arsenic                                                ,7440-38-2  ,78,1090,0,34700,0.77,0.0772,0.00000957,4.79,           ,29,29,29,            ,0,            ,0.008,0.00633,0.036,            ,            ,0.00006,0.002,                   ,           ,           ,114,                  ,         ,0.0003,1.5,0.000015,0.0043,                               ,I            ,Metal           ,0.004,           ,           ,              ,   ,T      
Barium,7440-39-3,137.33,984,2.5E-40,54700,0.0245,,,1.7,13.2,41,,,,1,,,,,0.15,0.15,0.00035,0.00015,,,,0.9608,0.9608,,0.2,,,,,I            ,Metal           ,,,,,,
